iter	Passed	Remaining
0	6	6070
1	6	3351
2	7	2453
3	8	1995
4	8	1716
5	9	1529
6	9	1396
7	10	1295
8	11	1211
9	11	1141
10	12	1079
11	12	1032
12	13	1047
13	14	1033
14	15	1013
15	16	985
16	16	964
17	17	948
18	17	923
19	18	900
20	19	886
21	19	869
22	20	853
23	20	836
24	21	820
25	21	805
26	21	791
27	22	779
28	22	767
29	23	755
30	23	744
31	24	734
32	24	724
33	25	715
34	25	707
35	26	698
36	26	690
37	26	682
38	27	681
39	28	693
40	29	690
41	30	685
42	30	679
43	31	674
44	31	670
45	32	665
46	32	659
47	33	654
48	33	650
49	33	645
50	34	640
51	34	635
52	35	631
53	35	627
54	36	623
55	36	619
56	37	614
57	37	610
58	38	606
59	38	603
60	38	599
61	39	596
62	39	593
63	40	591
64	40	589
65	41	587
66	41	584
67	42	581
68	43	582
69	44	584
70	44	583
71	45	580
72	45	578
73	46	575
74	46	573
75	46	571
76	47	567
77	47	565
78	48	562
79	48	560
80	49	557
81	49	555
82	49	550
83	50	548
84	50	547
85	51	544
86	51	542
87	52	540
88	52	538
89	53	536
90	53	534
91	53	532
92	54	530
93	54	529
94	55	527
95	55	525
96	56	523
97	56	521
98	57	520
99	57	520
100	58	521
101	59	522
102	59	522
103	60	520
104	60	519
105	61	518
106	61	516
107	62	514
108	62	513
109	63	511
110	63	510
111	64	508
112	64	507
113	65	506
114	65	505
115	66	503
116	66	501
117	67	505
118	68	504
119	68	502
120	69	501
121	69	499
122	69	498
123	70	497
124	70	495
125	71	496
126	72	494
127	72	496
128	73	496
129	74	497
130	74	496
131	75	496
132	76	496
133	76	495
134	77	495
135	77	494
136	78	493
137	78	492
138	79	490
139	79	489
140	80	489
141	80	488
142	81	486
143	81	485
144	82	485
145	82	484
146	83	482
147	83	481
148	84	480
149	84	479
150	85	478
151	85	477
152	86	476
153	86	475
154	86	474
155	87	473
156	87	472
157	88	471
158	89	473
159	90	472
160	90	470
161	90	469
162	91	468
163	91	467
164	92	466
165	92	465
166	93	464
167	93	464
168	94	463
169	94	461
170	95	461
171	95	460
172	96	459
173	96	458
174	96	457
175	97	455
176	97	454
177	98	454
178	98	453
179	99	452
180	99	451
181	100	450
182	100	449
183	101	448
184	101	447
185	102	446
186	102	445
187	103	448
188	104	450
189	105	449
190	106	449
191	106	448
192	107	447
193	107	446
194	107	445
195	108	444
196	108	443
197	109	442
198	109	441
199	110	440
200	110	439
201	111	438
202	111	438
203	112	437
204	112	436
205	112	435
206	113	434
207	113	433
208	114	432
209	114	431
210	115	431
211	115	430
212	116	429
213	116	428
214	117	427
215	117	426
216	118	426
217	118	425
218	119	427
219	120	428
220	121	427
221	121	427
222	122	427
223	123	427
224	123	426
225	124	425
226	124	424
227	125	423
228	125	423
229	126	422
230	126	421
231	127	420
232	127	419
233	127	418
234	128	418
235	128	417
236	129	416
237	129	415
238	130	414
239	130	413
240	131	413
241	132	413
242	132	413
243	133	413
244	134	413
245	134	413
246	135	413
247	136	412
248	137	413
249	137	412
250	138	412
251	138	411
252	139	411
253	139	410
254	140	410
255	140	409
256	141	409
257	142	408
258	142	407
259	142	406
260	143	405
261	143	405
262	144	404
263	144	403
264	145	402
265	145	402
